scope,run_id,market,model,feature_set,seed,status,checked,integrity_pass,origins_match,target_dates_match,fold_boundaries_match,fold_counts_match,prediction_counts_match,horizons_match,fold_count,prediction_count
run_vs_plan,canada_tsx__dnfs__indicators__seed42,canada_tsx,dnfs,indicators,42,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,canada_tsx__dnfs__indicators__seed2026,canada_tsx,dnfs,indicators,2026,completed,True,True,True,True,True,True,True,True,39,765
run_vs_plan,france_cac40__cnn1d__close__seed1,france_cac40,cnn1d,close,1,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__cnn1d__close__seed42,france_cac40,cnn1d,close,42,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__cnn1d__close__seed2026,france_cac40,cnn1d,close,2026,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__cnn1d__indicators__seed1,france_cac40,cnn1d,indicators,1,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__cnn1d__indicators__seed42,france_cac40,cnn1d,indicators,42,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__cnn1d__indicators__seed2026,france_cac40,cnn1d,indicators,2026,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__lstm_gru__close__seed1,france_cac40,lstm_gru,close,1,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__lstm_gru__close__seed42,france_cac40,lstm_gru,close,42,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__lstm_gru__close__seed2026,france_cac40,lstm_gru,close,2026,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__lstm_gru__indicators__seed1,france_cac40,lstm_gru,indicators,1,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__lstm_gru__indicators__seed42,france_cac40,lstm_gru,indicators,42,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__lstm_gru__indicators__seed2026,france_cac40,lstm_gru,indicators,2026,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__dnfs__close__seed1,france_cac40,dnfs,close,1,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__dnfs__close__seed42,france_cac40,dnfs,close,42,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__dnfs__close__seed2026,france_cac40,dnfs,close,2026,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__dnfs__indicators__seed1,france_cac40,dnfs,indicators,1,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__dnfs__indicators__seed42,france_cac40,dnfs,indicators,42,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,france_cac40__dnfs__indicators__seed2026,france_cac40,dnfs,indicators,2026,completed,True,True,True,True,True,True,True,True,39,779
run_vs_plan,germany_dax__cnn1d__close__seed1,germany_dax,cnn1d,close,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__cnn1d__close__seed42,germany_dax,cnn1d,close,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__cnn1d__close__seed2026,germany_dax,cnn1d,close,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__cnn1d__indicators__seed1,germany_dax,cnn1d,indicators,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__cnn1d__indicators__seed42,germany_dax,cnn1d,indicators,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__cnn1d__indicators__seed2026,germany_dax,cnn1d,indicators,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__lstm_gru__close__seed1,germany_dax,lstm_gru,close,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__lstm_gru__close__seed42,germany_dax,lstm_gru,close,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__lstm_gru__close__seed2026,germany_dax,lstm_gru,close,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__lstm_gru__indicators__seed1,germany_dax,lstm_gru,indicators,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__lstm_gru__indicators__seed42,germany_dax,lstm_gru,indicators,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__lstm_gru__indicators__seed2026,germany_dax,lstm_gru,indicators,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__dnfs__close__seed1,germany_dax,dnfs,close,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__dnfs__close__seed42,germany_dax,dnfs,close,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__dnfs__close__seed2026,germany_dax,dnfs,close,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__dnfs__indicators__seed1,germany_dax,dnfs,indicators,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__dnfs__indicators__seed42,germany_dax,dnfs,indicators,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,germany_dax__dnfs__indicators__seed2026,germany_dax,dnfs,indicators,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__cnn1d__close__seed1,italy_ftse_mib,cnn1d,close,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__cnn1d__close__seed42,italy_ftse_mib,cnn1d,close,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__cnn1d__close__seed2026,italy_ftse_mib,cnn1d,close,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__cnn1d__indicators__seed1,italy_ftse_mib,cnn1d,indicators,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__cnn1d__indicators__seed42,italy_ftse_mib,cnn1d,indicators,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__cnn1d__indicators__seed2026,italy_ftse_mib,cnn1d,indicators,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__lstm_gru__close__seed1,italy_ftse_mib,lstm_gru,close,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__lstm_gru__close__seed42,italy_ftse_mib,lstm_gru,close,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__lstm_gru__close__seed2026,italy_ftse_mib,lstm_gru,close,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__lstm_gru__indicators__seed1,italy_ftse_mib,lstm_gru,indicators,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__lstm_gru__indicators__seed42,italy_ftse_mib,lstm_gru,indicators,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__lstm_gru__indicators__seed2026,italy_ftse_mib,lstm_gru,indicators,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__dnfs__close__seed1,italy_ftse_mib,dnfs,close,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__dnfs__close__seed42,italy_ftse_mib,dnfs,close,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__dnfs__close__seed2026,italy_ftse_mib,dnfs,close,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__dnfs__indicators__seed1,italy_ftse_mib,dnfs,indicators,1,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__dnfs__indicators__seed42,italy_ftse_mib,dnfs,indicators,42,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,italy_ftse_mib__dnfs__indicators__seed2026,italy_ftse_mib,dnfs,indicators,2026,completed,True,True,True,True,True,True,True,True,39,774
run_vs_plan,japan_nikkei225__cnn1d__close__seed1,japan_nikkei225,cnn1d,close,1,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__cnn1d__close__seed42,japan_nikkei225,cnn1d,close,42,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__cnn1d__close__seed2026,japan_nikkei225,cnn1d,close,2026,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__cnn1d__indicators__seed1,japan_nikkei225,cnn1d,indicators,1,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__cnn1d__indicators__seed42,japan_nikkei225,cnn1d,indicators,42,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__cnn1d__indicators__seed2026,japan_nikkei225,cnn1d,indicators,2026,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__lstm_gru__close__seed1,japan_nikkei225,lstm_gru,close,1,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__lstm_gru__close__seed42,japan_nikkei225,lstm_gru,close,42,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__lstm_gru__close__seed2026,japan_nikkei225,lstm_gru,close,2026,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__lstm_gru__indicators__seed1,japan_nikkei225,lstm_gru,indicators,1,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__lstm_gru__indicators__seed42,japan_nikkei225,lstm_gru,indicators,42,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__lstm_gru__indicators__seed2026,japan_nikkei225,lstm_gru,indicators,2026,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__dnfs__close__seed1,japan_nikkei225,dnfs,close,1,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__dnfs__close__seed42,japan_nikkei225,dnfs,close,42,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__dnfs__close__seed2026,japan_nikkei225,dnfs,close,2026,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__dnfs__indicators__seed1,japan_nikkei225,dnfs,indicators,1,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__dnfs__indicators__seed42,japan_nikkei225,dnfs,indicators,42,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,japan_nikkei225__dnfs__indicators__seed2026,japan_nikkei225,dnfs,indicators,2026,completed,True,True,True,True,True,True,True,True,38,746
run_vs_plan,uk_ftse100__cnn1d__close__seed1,uk_ftse100,cnn1d,close,1,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__cnn1d__close__seed42,uk_ftse100,cnn1d,close,42,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__cnn1d__close__seed2026,uk_ftse100,cnn1d,close,2026,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__cnn1d__indicators__seed1,uk_ftse100,cnn1d,indicators,1,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__cnn1d__indicators__seed42,uk_ftse100,cnn1d,indicators,42,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__cnn1d__indicators__seed2026,uk_ftse100,cnn1d,indicators,2026,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__lstm_gru__close__seed1,uk_ftse100,lstm_gru,close,1,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__lstm_gru__close__seed42,uk_ftse100,lstm_gru,close,42,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__lstm_gru__close__seed2026,uk_ftse100,lstm_gru,close,2026,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__lstm_gru__indicators__seed1,uk_ftse100,lstm_gru,indicators,1,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__lstm_gru__indicators__seed42,uk_ftse100,lstm_gru,indicators,42,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__lstm_gru__indicators__seed2026,uk_ftse100,lstm_gru,indicators,2026,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__dnfs__close__seed1,uk_ftse100,dnfs,close,1,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__dnfs__close__seed42,uk_ftse100,dnfs,close,42,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__dnfs__close__seed2026,uk_ftse100,dnfs,close,2026,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__dnfs__indicators__seed1,uk_ftse100,dnfs,indicators,1,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__dnfs__indicators__seed42,uk_ftse100,dnfs,indicators,42,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,uk_ftse100__dnfs__indicators__seed2026,uk_ftse100,dnfs,indicators,2026,completed,True,True,True,True,True,True,True,True,39,770
run_vs_plan,us_sp500__cnn1d__close__seed1,us_sp500,cnn1d,close,1,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__cnn1d__close__seed42,us_sp500,cnn1d,close,42,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__cnn1d__close__seed2026,us_sp500,cnn1d,close,2026,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__cnn1d__indicators__seed1,us_sp500,cnn1d,indicators,1,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__cnn1d__indicators__seed42,us_sp500,cnn1d,indicators,42,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__cnn1d__indicators__seed2026,us_sp500,cnn1d,indicators,2026,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__lstm_gru__close__seed1,us_sp500,lstm_gru,close,1,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__lstm_gru__close__seed42,us_sp500,lstm_gru,close,42,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__lstm_gru__close__seed2026,us_sp500,lstm_gru,close,2026,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__lstm_gru__indicators__seed1,us_sp500,lstm_gru,indicators,1,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__lstm_gru__indicators__seed42,us_sp500,lstm_gru,indicators,42,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__lstm_gru__indicators__seed2026,us_sp500,lstm_gru,indicators,2026,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__dnfs__close__seed1,us_sp500,dnfs,close,1,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__dnfs__close__seed42,us_sp500,dnfs,close,42,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__dnfs__close__seed2026,us_sp500,dnfs,close,2026,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__dnfs__indicators__seed1,us_sp500,dnfs,indicators,1,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__dnfs__indicators__seed42,us_sp500,dnfs,indicators,42,completed,True,True,True,True,True,True,True,True,39,767
run_vs_plan,us_sp500__dnfs__indicators__seed2026,us_sp500,dnfs,indicators,2026,completed,True,True,True,True,True,True,True,True,39,767
