run_id,market,model,feature_set,seed,config_sha256,aligned_warmup_rows,matched_plan_path,dataset_path,dataset_sha256,git_revision,python_version,platform,forecastle_version,torch_version,device_requested,worker_device,physical_gpu_id,divergence,matched_plan_sha256,status,last_action,started_at,completed_at,duration_seconds,artifact_dir,last_checked_at,source_batch
germany_dax__linear_regression__close__seed42,germany_dax,linear_regression,close,42,2f242e17c345334cf663e7e489e843defbc1a94c5c4adcb6a4f679957910a249,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/germany_dax_plan.csv,data/raw/dax.csv,6df3c07461b6001bea2f957118e4c2a0f60fc02ed6717da5035f5d9186d63fcd,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,d5ef66e19b6e8b46c587171f280bbec2a4d54185b452cf7d39c9d227313889d0,completed,skipped,2026-07-23T17:59:33.290148+00:00,2026-07-23T17:59:39.155919+00:00,5.859198452999976,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/germany_dax__linear_regression__close__seed42/artifacts/20260723_175933_373376,2026-07-23T23:45:00.150045+00:00,g7_stage1_expanding_recursive_baselines
germany_dax__linear_regression__indicators__seed42,germany_dax,linear_regression,indicators,42,2d46bfe3765fef338da4e0e3ebce7da9775d5277d7b313ec2b96d3c134406e15,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/germany_dax_plan.csv,data/raw/dax.csv,6df3c07461b6001bea2f957118e4c2a0f60fc02ed6717da5035f5d9186d63fcd,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,d5ef66e19b6e8b46c587171f280bbec2a4d54185b452cf7d39c9d227313889d0,completed,skipped,2026-07-23T17:59:39.158001+00:00,2026-07-23T17:59:53.758975+00:00,14.594172841000043,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/germany_dax__linear_regression__indicators__seed42/artifacts/20260723_175939_250477,2026-07-23T23:45:00.293502+00:00,g7_stage1_expanding_recursive_baselines
italy_ftse_mib__naive_persistence__close__seed42,italy_ftse_mib,naive_persistence,close,42,6ff15128ba02d678b9d2a7613df108661bdd29fa22e3f1e8b778355a1965a7de,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/italy_ftse_mib_plan.csv,data/raw/ftse_mib.csv,881af63714794a1e1e67aa16c3bfc7a80e9f81cdf2a5890a030ce3024b186663,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,331db8d7b39b18bfca3c67087724330fb0862f56788222143e26a9dd237866d7,completed,skipped,2026-07-23T17:59:53.761015+00:00,2026-07-23T17:59:55.501035+00:00,1.73338086199999,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/italy_ftse_mib__naive_persistence__close__seed42/artifacts/20260723_175953_850241,2026-07-23T23:45:00.419425+00:00,g7_stage1_expanding_recursive_baselines
italy_ftse_mib__naive_persistence__indicators__seed42,italy_ftse_mib,naive_persistence,indicators,42,4c6b4144f13ed91019fdd67f02bfac6a3778b8db90967d6acd0d336a14b1732f,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/italy_ftse_mib_plan.csv,data/raw/ftse_mib.csv,881af63714794a1e1e67aa16c3bfc7a80e9f81cdf2a5890a030ce3024b186663,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,331db8d7b39b18bfca3c67087724330fb0862f56788222143e26a9dd237866d7,completed,skipped,2026-07-23T17:59:57.078960+00:00,2026-07-23T18:00:02.728026+00:00,5.642054478000091,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/italy_ftse_mib__naive_persistence__indicators__seed42/artifacts/20260723_175957_188168,2026-07-23T23:45:00.540606+00:00,g7_stage1_expanding_recursive_baselines
italy_ftse_mib__linear_regression__close__seed42,italy_ftse_mib,linear_regression,close,42,c0204b9d150749c7a09f25251cc837a3e641e76112f64103f7b473a17879a612,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/italy_ftse_mib_plan.csv,data/raw/ftse_mib.csv,881af63714794a1e1e67aa16c3bfc7a80e9f81cdf2a5890a030ce3024b186663,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,331db8d7b39b18bfca3c67087724330fb0862f56788222143e26a9dd237866d7,completed,skipped,2026-07-23T18:00:04.405489+00:00,2026-07-23T18:00:10.700793+00:00,6.288883685999963,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/italy_ftse_mib__linear_regression__close__seed42/artifacts/20260723_180004_490186,2026-07-23T23:45:00.738278+00:00,g7_stage1_expanding_recursive_baselines
italy_ftse_mib__linear_regression__indicators__seed42,italy_ftse_mib,linear_regression,indicators,42,4b323a90140e6c949682eaca8913f9aa95c0364d2f7166a4a54d7c1b7680fbc3,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/italy_ftse_mib_plan.csv,data/raw/ftse_mib.csv,881af63714794a1e1e67aa16c3bfc7a80e9f81cdf2a5890a030ce3024b186663,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,331db8d7b39b18bfca3c67087724330fb0862f56788222143e26a9dd237866d7,completed,skipped,2026-07-23T18:00:10.703295+00:00,2026-07-23T18:00:29.062356+00:00,18.35316226100008,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/italy_ftse_mib__linear_regression__indicators__seed42/artifacts/20260723_180010_795483,2026-07-23T23:45:00.956249+00:00,g7_stage1_expanding_recursive_baselines
japan_nikkei225__naive_persistence__close__seed42,japan_nikkei225,naive_persistence,close,42,7213814af3cdbb1c23a8ed661cd473b505bedc706c187a34b967026cff8f1414,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/japan_nikkei225_plan.csv,data/raw/nikkei225.csv,15d5a0e48b2f419b676f1665849e2915787bf2347e13cd82ae11c0efeb5c4413,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,51d78001c6685bb2f527ff7c9c19ce0f6e54715b09726a2ea0b6478bc7997fbb,completed,skipped,2026-07-23T18:00:29.064245+00:00,2026-07-23T18:00:30.753060+00:00,1.6821981979999237,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/japan_nikkei225__naive_persistence__close__seed42/artifacts/20260723_180029_148189,2026-07-23T23:45:01.163558+00:00,g7_stage1_expanding_recursive_baselines
japan_nikkei225__naive_persistence__indicators__seed42,japan_nikkei225,naive_persistence,indicators,42,484458cab9c8886fbfe2b2b81f576229c5ebb86944fd5863e5ec916f4d00e118,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/japan_nikkei225_plan.csv,data/raw/nikkei225.csv,15d5a0e48b2f419b676f1665849e2915787bf2347e13cd82ae11c0efeb5c4413,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,51d78001c6685bb2f527ff7c9c19ce0f6e54715b09726a2ea0b6478bc7997fbb,completed,skipped,2026-07-23T18:00:32.779546+00:00,2026-07-23T18:00:38.103232+00:00,5.316640624999991,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/japan_nikkei225__naive_persistence__indicators__seed42/artifacts/20260723_180032_873218,2026-07-23T23:45:01.416779+00:00,g7_stage1_expanding_recursive_baselines
japan_nikkei225__linear_regression__close__seed42,japan_nikkei225,linear_regression,close,42,34fe618b4189c950a06dc3c4589c399d884c0e477beee4638fbca62041621ed0,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/japan_nikkei225_plan.csv,data/raw/nikkei225.csv,15d5a0e48b2f419b676f1665849e2915787bf2347e13cd82ae11c0efeb5c4413,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,51d78001c6685bb2f527ff7c9c19ce0f6e54715b09726a2ea0b6478bc7997fbb,completed,skipped,2026-07-23T18:00:40.249583+00:00,2026-07-23T18:00:46.006909+00:00,5.750455712000075,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/japan_nikkei225__linear_regression__close__seed42/artifacts/20260723_180040_333051,2026-07-23T23:45:01.659176+00:00,g7_stage1_expanding_recursive_baselines
japan_nikkei225__linear_regression__indicators__seed42,japan_nikkei225,linear_regression,indicators,42,68db831e7f59ccb38f96cdfb5e61c271b795df7461c4275e1d3aa78cc6b56924,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/japan_nikkei225_plan.csv,data/raw/nikkei225.csv,15d5a0e48b2f419b676f1665849e2915787bf2347e13cd82ae11c0efeb5c4413,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,51d78001c6685bb2f527ff7c9c19ce0f6e54715b09726a2ea0b6478bc7997fbb,completed,skipped,2026-07-23T18:00:46.008734+00:00,2026-07-23T18:00:59.154582+00:00,13.139297229000022,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/japan_nikkei225__linear_regression__indicators__seed42/artifacts/20260723_180046_097075,2026-07-23T23:45:01.990902+00:00,g7_stage1_expanding_recursive_baselines
uk_ftse100__naive_persistence__close__seed42,uk_ftse100,naive_persistence,close,42,d86da12210ef98571e52aa276fd55234a6736085bb4686746226399fc3b87ac7,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/uk_ftse100_plan.csv,data/raw/ftse100.csv,91e3912a3b8dbd79e5660a2370428a9616b1e5cfd945edda78c77f318b3f5c04,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,ae549235c6587ad466b99a0150e89d2dcb23593034b55682979db45dfa5684db,completed,skipped,2026-07-23T18:00:59.156969+00:00,2026-07-23T18:01:00.907552+00:00,1.743263049999996,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/uk_ftse100__naive_persistence__close__seed42/artifacts/20260723_180059_251660,2026-07-23T23:45:02.099123+00:00,g7_stage1_expanding_recursive_baselines
uk_ftse100__naive_persistence__indicators__seed42,uk_ftse100,naive_persistence,indicators,42,8a3db6e8be4fb42071a7e09cf66fabed682305c8691be6af282c728263213064,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/uk_ftse100_plan.csv,data/raw/ftse100.csv,91e3912a3b8dbd79e5660a2370428a9616b1e5cfd945edda78c77f318b3f5c04,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,ae549235c6587ad466b99a0150e89d2dcb23593034b55682979db45dfa5684db,completed,skipped,2026-07-23T18:01:03.508575+00:00,2026-07-23T18:01:09.159441+00:00,5.644426835999866,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/uk_ftse100__naive_persistence__indicators__seed42/artifacts/20260723_180103_600511,2026-07-23T23:45:02.214350+00:00,g7_stage1_expanding_recursive_baselines
uk_ftse100__linear_regression__close__seed42,uk_ftse100,linear_regression,close,42,d53e3c5b9afc580bb44db21309bd4633256b90b72f2ec8e26cae23e1f19e5d6a,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/uk_ftse100_plan.csv,data/raw/ftse100.csv,91e3912a3b8dbd79e5660a2370428a9616b1e5cfd945edda78c77f318b3f5c04,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,ae549235c6587ad466b99a0150e89d2dcb23593034b55682979db45dfa5684db,completed,skipped,2026-07-23T18:01:11.781603+00:00,2026-07-23T18:01:17.680376+00:00,5.891965950999975,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/uk_ftse100__linear_regression__close__seed42/artifacts/20260723_180111_865753,2026-07-23T23:45:02.332291+00:00,g7_stage1_expanding_recursive_baselines
uk_ftse100__linear_regression__indicators__seed42,uk_ftse100,linear_regression,indicators,42,c9e3e4e7f3c8929423a246b4747321e0fd74215e0f7a7862fd63c89665c8bda8,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/uk_ftse100_plan.csv,data/raw/ftse100.csv,91e3912a3b8dbd79e5660a2370428a9616b1e5cfd945edda78c77f318b3f5c04,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,ae549235c6587ad466b99a0150e89d2dcb23593034b55682979db45dfa5684db,completed,skipped,2026-07-23T18:01:17.682488+00:00,2026-07-23T18:01:32.891287+00:00,15.201854682999963,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/uk_ftse100__linear_regression__indicators__seed42/artifacts/20260723_180117_784339,2026-07-23T23:45:02.439363+00:00,g7_stage1_expanding_recursive_baselines
us_sp500__naive_persistence__close__seed42,us_sp500,naive_persistence,close,42,f279abb9dd652d8e5efc048bf6ee2a6381d8496f886e7d9774e866f097160067,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/us_sp500_plan.csv,data/raw/sp500_g7_2006_2026.csv,10f4c55ac164d62e8c2baf113d41cb486f99bf0f14bbc0d3d69b8dbb0f83e958,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,f9d2bf87df0222123396af11fd8eeb0100af1ad26282c95edaff760568a8e40e,completed,skipped,2026-07-23T18:01:32.893310+00:00,2026-07-23T18:01:34.581189+00:00,1.680790689000105,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/us_sp500__naive_persistence__close__seed42/artifacts/20260723_180132_984486,2026-07-23T23:45:02.554024+00:00,g7_stage1_expanding_recursive_baselines
us_sp500__naive_persistence__indicators__seed42,us_sp500,naive_persistence,indicators,42,d96e8b2512353ea1c50fa65861d6e89f0cd7b2c06e87fa7be0407bdd597c3e15,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/us_sp500_plan.csv,data/raw/sp500_g7_2006_2026.csv,10f4c55ac164d62e8c2baf113d41cb486f99bf0f14bbc0d3d69b8dbb0f83e958,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,f9d2bf87df0222123396af11fd8eeb0100af1ad26282c95edaff760568a8e40e,completed,skipped,2026-07-23T18:01:37.435560+00:00,2026-07-23T18:01:43.169544+00:00,5.72580265900001,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/us_sp500__naive_persistence__indicators__seed42/artifacts/20260723_180137_540515,2026-07-23T23:45:02.666363+00:00,g7_stage1_expanding_recursive_baselines
us_sp500__linear_regression__close__seed42,us_sp500,linear_regression,close,42,e25e870ef2dc632408280936b84f2dcfdb07424ffdabe03d9f9516578a9219d2,33,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/matched_origins/us_sp500_plan.csv,data/raw/sp500_g7_2006_2026.csv,10f4c55ac164d62e8c2baf113d41cb486f99bf0f14bbc0d3d69b8dbb0f83e958,2ba135f24dbe533e013485e62c3f128777042146,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,cuda,cuda:0,0,False,f9d2bf87df0222123396af11fd8eeb0100af1ad26282c95edaff760568a8e40e,completed,skipped,2026-07-23T18:01:46.225183+00:00,2026-07-23T18:01:52.383249+00:00,6.151388976000135,outputs/batches/g7_staged_2006_2026/g7_stage1_expanding_recursive_baselines/runs/us_sp500__linear_regression__close__seed42/artifacts/20260723_180146_309686,2026-07-23T23:45:02.786846+00:00,g7_stage1_expanding_recursive_baselines
